variant;canonical;gender
stefanko;Štefan;M
stefi;Štefan;M
matusko;Matúš;M
matusino;Matúš;M
alex;Alexander;M
alexko;Alexander;M
saso;Alexander;M
sasko;Alexander;M
luky;Lukáš;M
luki;Lukáš;M
lukasko;Lukáš;M
lukino;Lukáš;M
adamko;Adam;M
ado;Adrian;M
adko;Adrian;M
adino;Adrian;M
kubko;Jakub;M
kubo;Jakub;M
kubino;Jakub;M
jakubko;Jakub;M
patko;Patrik;M
pato;Patrik;M
patrikko;Patrik;M
patino;Patrik;M
domko;Dominik;M
domino;Dominik;M
domi;Dominik;M
dominiko;Dominik;M
anka;Anna;F
anicka;Anna;F
ani;Anna;F
anula;Anna;F
majka;Mária;F
marika;Mária;F
maruska;Mária;F
mary;Mária;F
katka;Katarína;F
katica;Katarína;F
katy;Katarína;F
kati;Katarína;F
zuzka;Zuzana;F
zuzinka;Zuzana;F
zuzu;Zuzana;F
zuzana;Zuzana;F
martinka;Martina;F
marti;Marta;F
martuska;Marta;F
marta;Marta;F
petka;Petra;F
peta;Petra;F
peti;Petra;F
petulka;Petra;F
janka;Jana;F
janicka;Jana;F
jani;Jana;F
januska;Jana;F
lucka;Lucia;F
luci;Lucia;F
lucinka;Lucia;F
lucuska;Lucia;F
verca;Veronika;F
veri;Veronika;F
veronka;Veronika;F
veronika;Veronika;F
janko;Ján;M
majka;Mária;F
anicka;Anna;F
ani;Anna;F
anett;Aneta;F
oliverko ;Oliver;M
ondrejko;Ondrej;M
otko;Oto;M
emo;Emanuel;M
emko;Emanuel;M
eman;Emanuel;M
simonko;Šimon;M
simonka;Simona;F
simko;Šimon;M
ono;Ondrej;M
marina;Mária;F
marienka;Mária;F
lubka;Ľubica;F
leo;Leopold;M
pista;Štefan;M
bara;Barbara;F
erza;Alžbeta;F
kaja;Katarína;F
katuska;Katarína;F
ivko;Ivan;M
ivusko;Ivan;M
slavko;Slavomír;M
slavo;Slavomír;M
rastik;Rastislav;M
rudko;Rudolf;M
rudo;Rudolf;M
luda;Ľudmila;F
mata;Martina;F
vladko;Vladislav;M
kristinka;Kristína;F
kristianko;Kristián;M
ninka;Nina;F
nika;Nikola;F
ivka;Ivana;F
sonka;Soňa;F
terka;Terézia;F
terezka;Terézia;F
teruska;Terézia;F
milka;Emília;F
marko;Marek;M
jozka;Jozefína;F
marecek;Marek;M
klarka;Klára;F
tiborko;Tibor;M
naty;Natália;F
natálka;Natália;F
natka;Natália;F
ali;Alica;F
alicka;Alica;F
dávidko;Dávid;M
dado;Dávid;M
aga;Agáta;F
kiko;Kristián;M
agátka;Agáta;F
betka;Alžbeta;F
alžbetka;Alžbeta;F
beti;Alžbeta;F
beta;Alžbeta;F
paťa;Patrícia;F
paťka;Patrícia;F
didi;Diana;F
dianka;Diana;F
dia ;Diana;F
sonička;Soňa;F
barborka;Barbora;F
soni ;Soňa;F
kika;Kristína;F
paula;Paulína;F
paulínka;Paulína;F
miro;Miroslav;M
mirko;Miroslav;M
saša;Alexandra;F
saška;Alexandra;F
alexa;Alexandra;F
julo;Július;M
julko;Július;M
evička;Eva;F
evka;Eva;F
dorotka;Dorota;F
dorka;Dorota;F
dora;Dorota;F
julka;Júlia;F
jula;Júlia;F
julča ;Júlia;F
dana;Daniela;F
danka;Daniela;F
danielka;Daniela;F
viki;Viktória;F
viktorka;Viktória;F
braňo;Branislav;M
branko;Branislav;M
branči;Branislav;M
oliverko ;Oliver;M
oli ;Oliver;M
janči;Ján;M
janko;Ján;M
ľudo;Ľudovít;M
ľudko;Ľudovít;M
sofi;Sofia;F
sofinka;Sofia;F
zlatka;Zlatica;F
alenka;Alena;F
vladko;Vladimír;M
vlado;Vladimír;M
Eli;Eliška;F
